PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.OrganismId,[1] EV_071A_R1_S2-A1_1_9412.d.PG.Quantity,[2] EV_071A_R2_S2-A2_1_9413.d.PG.Quantity,[3] EV_071A_R3_S2-A3_1_9414.d.PG.Quantity,[4] EV_071A_R4_S2-A4_1_9415.d.PG.Quantity
O96011,PEX11B,Peroxisomal membrane protein 11B,PX11B_HUMAN,9606,44.46980286,41.10874176,31.91305542,73.07121277
O96013,PAK4,Serine/threonine-protein kinase PAK 4,PAK4_HUMAN,9606,79.95796204,124.8378372,60.57776642,107.772049
P00156,MT-CYB,Cytochrome b,CYB_HUMAN,9606,36.12890625,78.82067871,29.64917564,85.06969452
P00167,CYB5A,Cytochrome b5,CYB5_HUMAN,9606,22.33453941,34.19738388,12.85270214,55.21078491
P00325,ADH1B,All-trans-retinol dehydrogenase [NAD(+)] ADH1B,ADH1B_HUMAN,9606,25.40764236,43.60704041,19.07149887,33.6858902
P00338,LDHA,L-lactate dehydrogenase A chain,LDHA_HUMAN,9606,1032.943481,1504.015503,782.02771,3260.384033
P00352,ALDH1A1,Aldehyde dehydrogenase 1A1,AL1A1_HUMAN,9606,31.44287491,52.06186676,29.89629936,63.92526627
P00367,GLUD1,"Glutamate dehydrogenase 1, mitochondrial",DHE3_HUMAN,9606,363.7858276,558.69104,349.0302124,849.1171265
P00387,CYB5R3,NADH-cytochrome b5 reductase 3,NB5R3_HUMAN,9606,2118.515381,3394.816162,1918.815674,5256.774414
P00390,GSR,"Glutathione reductase, mitochondrial",GSHR_HUMAN,9606,227.1159515,410.7302551,197.2194977,442.6072083
P00403,MT-CO2,Cytochrome c oxidase subunit 2,COX2_HUMAN,9606,739.4713135,1118.500854,596.0947266,2035.72876
P00450,CP,Ceruloplasmin,CERU_HUMAN,9606,1233.352173,2694.092041,1189.006714,2213.102295
P00451,F8,Coagulation factor VIII,FA8_HUMAN,9606,205.3834381,366.4608154,167.0086212,388.8904724
P00488,F13A1,Coagulation factor XIII A chain,F13A_HUMAN,9606,1268.332642,2123.365234,979.8745117,3657.758301
P00491,PNP,Purine nucleoside phosphorylase,PNPH_HUMAN,9606,38.16356277,78.68242645,38.7907486,114.7073212
P00492,HPRT1,Hypoxanthine-guanine phosphoribosyltransferase,HPRT_HUMAN,9606,182.1206512,272.3825073,146.8825684,343.0015259
P00505,GOT2,"Aspartate aminotransferase, mitochondrial",AATM_HUMAN,9606,321.6399231,471.039978,339.1924438,815.3909912
P00558,PGK1,Phosphoglycerate kinase 1,PGK1_HUMAN,9606,915.3852539,1255.400757,764.3858032,1902.269409
P00568,AK1,Adenylate kinase isoenzyme 1,KAD1_HUMAN,9606,860.0232544,1108.746094,688.3195801,994.0722046
P00734,F2,Prothrombin,THRB_HUMAN,9606,674.737915,1079.048096,663.4399414,1305.60144
P00736,C1R,Complement C1r subcomponent,C1R_HUMAN,9606,1864.114746,2868.106934,1821.174561,3352.325928
P00738,HP,Haptoglobin,HPT_HUMAN,9606,9883.146484,24764.54883,9446.052734,21210.99219
P00739,HPR,Haptoglobin-related protein,HPTR_HUMAN,9606,754.0635376,1159.95105,852.7918701,1319.888794
P00740,F9,Coagulation factor IX,FA9_HUMAN,9606,146.9608459,264.6113892,134.8632965,242.0397644
P00742,F10,Coagulation factor X,FA10_HUMAN,9606,83.68943787,142.4970245,74.17675018,159.2493896
P00746,CFD,Complement factor D,CFAD_HUMAN,9606,3394.928955,4088.365967,3773.459717,3844.931152
P00747,PLG,Plasminogen,PLMN_HUMAN,9606,132397.3438,141021.5625,99084.13281,142197.5
P00748,F12,Coagulation factor XII,FA12_HUMAN,9606,7821.549316,12607.43945,5707.635254,13880.4834
P00750,PLAT,Tissue-type plasminogen activator,TPA_HUMAN,9606,106.142128,152.7901154,92.03494263,170.6652679
P00751,CFB,Complement factor B,CFAB_HUMAN,9606,3275.182373,5100.532227,3861.3396,4587.701172
P00846,MT-ATP6,ATP synthase subunit a,ATP6_HUMAN,9606,264.6834412,392.9559326,230.3710175,460.0679016
P00915,CA1,Carbonic anhydrase 1,CAH1_HUMAN,9606,137.5152588,313.1395569,165.6728516,228.3423004
P00918,CA2,Carbonic anhydrase 2,CAH2_HUMAN,9606,265.8186035,398.0487671,237.6473389,324.663147
P01008,SERPINC1,Antithrombin-III,ANT3_HUMAN,9606,813.0784302,1621.479858,784.9291382,5605.608398
P01009,SERPINA1,Alpha-1-antitrypsin,A1AT_HUMAN,9606,9987.134766,18575.62695,8939.44043,32834.94922
P01011,SERPINA3,Alpha-1-antichymotrypsin,AACT_HUMAN,9606,1313.479126,3728.637451,1316.21106,3238.637939
P01019,AGT,Angiotensinogen,ANGT_HUMAN,9606,542.5738525,1122.785156,454.2363586,1266.288574
P01023,A2M,Alpha-2-macroglobulin,A2MG_HUMAN,9606,3144.641113,5650.598145,3014.383301,5128.237305
P01024,C3,Complement C3,CO3_HUMAN,9606,51382.18359,87261.71094,49225.12891,74522.35938
P01031,C5,Complement C5,CO5_HUMAN,9606,443.9215393,778.6858521,438.1128235,919.8434448
P01033,TIMP1,Metalloproteinase inhibitor 1,TIMP1_HUMAN,9606,121.2528534,67.67095947,113.6711502,196.2103119
P01034,CST3,Cystatin-C,CYTC_HUMAN,9606,3358.884766,4344.44043,3558.80835,3621.812256
P01040,CSTA,Cystatin-A,CYTA_HUMAN,9606,79.18048096,24.57806587,40.63241196,60.45322418
P01042,KNG1,Kininogen-1,KNG1_HUMAN,9606,260231.2031,260342.9531,187430.9844,199046.8125
P01111,NRAS,GTPase NRas,RASN_HUMAN,9606,190.2512665,324.0205688,143.1652679,313.8644409
P01116,KRAS,GTPase KRas,RASK_HUMAN,9606,156.0625458,308.6989746,174.2882385,341.1955566
P01130,LDLR,Low-density lipoprotein receptor,LDLR_HUMAN,9606,58.08860397,28.13468552,64.78491974,34.04072189
P01133,EGF,Pro-epidermal growth factor,EGF_HUMAN,9606,59.16749573,106.4954071,63.19837189,158.2391205
P01137,TGFB1,Transforming growth factor beta-1 proprotein,TGFB1_HUMAN,9606,1799.181152,2799.90625,1283.775757,3214.946289
P01266,TG,Thyroglobulin,THYG_HUMAN,9606,54.26285553,81.17156219,63.87608719,121.2422943
P01344,IGF2,Insulin-like growth factor II,IGF2_HUMAN,9606,74.68023682,130.9684143,57.38405991,90.16720581
P01591,JCHAIN,Immunoglobulin J chain,IGJ_HUMAN,9606,3112.678955,4652.627441,3015.88916,5796.866211
P01593;P01594,IGKV1D-33;IGKV1-33,Immunoglobulin kappa variable 1D-33;Immunoglobulin kappa variable 1-33,KVD33_HUMAN;KV133_HUMAN,9606,404.5909119,635.8066406,393.2163696,510.713562
P01597;P04432,IGKV1-39;IGKV1D-39,Immunoglobulin kappa variable 1-39;Immunoglobulin kappa variable 1D-39,KV139_HUMAN;KVD39_HUMAN,9606,171.0408325,234.5058594,175.8312531,257.268219
P01599,IGKV1-17,Immunoglobulin kappa variable 1-17,KV117_HUMAN,9606,412.5420837,698.9667358,418.6745605,654.4174805
P01601,IGKV1D-16,Immunoglobulin kappa variable 1D-16,KVD16_HUMAN,9606,129.2828064,247.0356293,144.0271301,239.3223877
P01602,IGKV1-5,Immunoglobulin kappa variable 1-5,KV105_HUMAN,9606,51.12534332,87.64572906,54.41899109,89.94863892
P01619,IGKV3-20,Immunoglobulin kappa variable 3-20,KV320_HUMAN,9606,5992.925781,10624.5166,4765.585938,9812.003906
P01624,IGKV3-15,Immunoglobulin kappa variable 3-15,KV315_HUMAN,9606,6893.739746,12302.91309,7233.930176,11525.15234
P01700,IGLV1-47,Immunoglobulin lambda variable 1-47,LV147_HUMAN,9606,2902.563477,4718.865234,2379.947266,4928.566895
P01701,IGLV1-51,Immunoglobulin lambda variable 1-51,LV151_HUMAN,9606,1265.663696,1542.450562,1195.356934,1683.245483
P01703,IGLV1-40,Immunoglobulin lambda variable 1-40,LV140_HUMAN,9606,145.456543,250.4341583,311.0888672,268.5748901
P01704,IGLV2-14,Immunoglobulin lambda variable 2-14,LV214_HUMAN,9606,239.2499847,332.4442139,149.1347504,509.5440063
P01705,IGLV2-23,Immunoglobulin lambda variable 2-23,LV223_HUMAN,9606,543.1217651,831.6690674,512.0830078,687.8404541
P01706,IGLV2-11,Immunoglobulin lambda variable 2-11,LV211_HUMAN,9606,317.1781921,425.0389709,316.7385254,532.8679199
P01709,IGLV2-8,Immunoglobulin lambda variable 2-8,LV208_HUMAN,9606,438.3557434,649.9350586,522.3972168,654.5107422
P01714,IGLV3-19,Immunoglobulin lambda variable 3-19,LV319_HUMAN,9606,128.7238159,210.4638367,94.49551392,236.3080292
P01715,IGLV3-1,Immunoglobulin lambda variable 3-1,LV301_HUMAN,9606,37.45301056,72.40828705,26.85898209,99.60717773
P01717,IGLV3-25,Immunoglobulin lambda variable 3-25,LV325_HUMAN,9606,269.8887329,600.098938,330.7382202,699.0740967
P01718,IGLV3-27,Immunoglobulin lambda variable 3-27,LV327_HUMAN,9606,11.70944595,6.544624805,7.375800133,14.58830643
P01721,IGLV6-57,Immunoglobulin lambda variable 6-57,LV657_HUMAN,9606,19.03684998,44.8693924,12.67733479,30.06427765
P01742,IGHV1-69,Immunoglobulin heavy variable 1-69,HV169_HUMAN,9606,235.0319672,412.071991,216.3955688,309.2818909
P01743,IGHV1-46,Immunoglobulin heavy variable 1-46,HV146_HUMAN,9606,42.0901413,114.3790207,57.13360214,65.37916565
P01763,IGHV3-48,Immunoglobulin heavy variable 3-48,HV348_HUMAN,9606,1157.696411,1510.775391,1202.495972,2257.335938
P01764,IGHV3-23,Immunoglobulin heavy variable 3-23,HV323_HUMAN,9606,149.7389832,237.0802307,103.1229553,218.5530701
P01767,IGHV3-53,Immunoglobulin heavy variable 3-53,HV353_HUMAN,9606,22.08461952,12.02006912,17.2160511,25.32267761
P01768;P0DP02;P0DP03,IGHV3-30;IGHV3-30-3;IGHV3-30-5,Immunoglobulin heavy variable 3-30;Immunoglobulin heavy variable 3-30-3;Immunoglobulin heavy variable 3-30-5,HV330_HUMAN;HVC33_HUMAN;HVC05_HUMAN,9606,2695.329834,3744.872314,2670.886475,3984.594238
P01772,IGHV3-33,Immunoglobulin heavy variable 3-33,HV333_HUMAN,9606,4.691753387,6.721960545,NaN,11.30176926
P01780,IGHV3-7,Immunoglobulin heavy variable 3-7,HV307_HUMAN,9606,1923.205444,3267.304443,2124.474121,3656.335693
P01782,IGHV3-9,Immunoglobulin heavy variable 3-9,HV309_HUMAN,9606,5.292525291,16.65226173,6.7810812,7.583697796
P01814,IGHV2-70,Immunoglobulin heavy variable 2-70,HV270_HUMAN,9606,49.36862564,122.2274246,74.58532715,102.6293335
P01817,IGHV2-5,Immunoglobulin heavy variable 2-5,HV205_HUMAN,9606,107.2205276,100.5989609,115.3670807,102.2226181
P01824,IGHV4-39,Immunoglobulin heavy variable 4-39,HV439_HUMAN,9606,580.9451294,740.3768311,672.1461792,860.1989136
P01833,PIGR,Polymeric immunoglobulin receptor,PIGR_HUMAN,9606,16.53405571,25.9165535,6.366445065,18.46996307
P01834,IGKC,Immunoglobulin kappa constant,IGKC_HUMAN,9606,10627.03418,18150.26953,7773.030762,13406.20703
P01859,IGHG2,Immunoglobulin heavy constant gamma 2,IGHG2_HUMAN,9606,7583.677246,13732.73535,7614.631836,13770.16504
P01860,IGHG3,Immunoglobulin heavy constant gamma 3,IGHG3_HUMAN,9606,9658.424805,14498.08105,8350.101563,14522.21973
P01861,IGHG4,Immunoglobulin heavy constant gamma 4,IGHG4_HUMAN,9606,588.0474243,1791.966797,596.5109863,1071.169556
P01871,IGHM,Immunoglobulin heavy constant mu,IGHM_HUMAN,9606,38560.97656,53544.96484,44634.87891,66844.4375
P01876,IGHA1,Immunoglobulin heavy constant alpha 1,IGHA1_HUMAN,9606,16013.65527,24022.5957,15963.91504,26172.47461
P01877,IGHA2,Immunoglobulin heavy constant alpha 2,IGHA2_HUMAN,9606,23968.83398,30772.14844,26008.75391,33189.26953
P01889,HLA-B,"HLA class I histocompatibility antigen, B alpha chain",HLAB_HUMAN,9606,826.3439941,1432.80957,782.5570068,1944.799438
P01903,HLA-DRA,"HLA class II histocompatibility antigen, DR alpha chain",DRA_HUMAN,9606,11.45028496,25.49459648,14.58004665,29.10626793
P01911,HLA-DRB1,"HLA class II histocompatibility antigen, DRB1 beta chain",DRB1_HUMAN,9606,6.266936779,13.81268597,10.20521545,13.24367523
P02042,HBD,Hemoglobin subunit delta,HBD_HUMAN,9606,122.7033768,256.1826477,125.1088486,246.0280304
P02144,MB,Myoglobin,MYG_HUMAN,9606,27.80104256,34.61903763,32.35738754,45.09952927
P02533,KRT14,"Keratin, type I cytoskeletal 14",K1C14_HUMAN,9606,3763.311279,3191.725586,7929.476563,11590.99707
P02538,KRT6A,"Keratin, type II cytoskeletal 6A",K2C6A_HUMAN,9606,2551.0896,1192.211182,3791.013428,4982.577637
P02545,LMNA,Prelamin-A/C,LMNA_HUMAN,9606,54.59136581,83.13414764,49.36661911,92.97719574
P02549,SPTA1,"Spectrin alpha chain, erythrocytic 1",SPTA1_HUMAN,9606,593.4968262,1114.585938,690.2296753,1697.768921
P02647,APOA1,Apolipoprotein A-I,APOA1_HUMAN,9606,116634.1797,113913.8672,114071.0781,120394.5156
P02649,APOE,Apolipoprotein E,APOE_HUMAN,9606,157575.125,170645.9063,144420.6406,143249.375
P02652,APOA2,Apolipoprotein A-II,APOA2_HUMAN,9606,9198.584961,10858.18262,16697.84766,15534.92676
P02654,APOC1,Apolipoprotein C-I,APOC1_HUMAN,9606,1825.536621,6479.57959,1890.377075,3118.116211
P02655,APOC2,Apolipoprotein C-II,APOC2_HUMAN,9606,754.50354,1542.031616,775.3690186,1243.193115
P02656,APOC3,Apolipoprotein C-III,APOC3_HUMAN,9606,53316.20703,56298.46094,58699.79297,58916.42969
P02671,FGA,Fibrinogen alpha chain,FIBA_HUMAN,9606,100229.25,99429.13281,87839.83594,96878.77344
P02675,FGB,Fibrinogen beta chain,FIBB_HUMAN,9606,123438.8438,141848.75,104662.9297,132929.5
P02679,FGG,Fibrinogen gamma chain,FIBG_HUMAN,9606,98551.09375,118891.7813,92806.09375,100113.5156
P02686,MBP,Myelin basic protein,MBP_HUMAN,9606,72.84281921,122.8037109,64.71876526,123.5288773
P02730,SLC4A1,Band 3 anion transport protein,B3AT_HUMAN,9606,749.9041748,1412.56604,812.8508911,2304.33252
P02741,CRP,C-reactive protein,CRP_HUMAN,9606,343.0055237,599.2106323,379.630127,558.0987549
P02743,APCS,Serum amyloid P-component,SAMP_HUMAN,9606,340.2088013,615.505249,381.2852173,652.5279541
P02745,C1QA,Complement C1q subcomponent subunit A,C1QA_HUMAN,9606,64701.89063,83011.14844,51475.98828,67773.60156
P02746,C1QB,Complement C1q subcomponent subunit B,C1QB_HUMAN,9606,137444.4688,147346.0313,115077.1484,146057.0156
P02747,C1QC,Complement C1q subcomponent subunit C,C1QC_HUMAN,9606,173256.75,187520,164606.5,177211.1875
P02748,C9,Complement component C9,CO9_HUMAN,9606,2718.452393,4351.100098,2843.105225,3682.728271
P02749,APOH,Beta-2-glycoprotein 1,APOH_HUMAN,9606,14030.79785,21724.96484,16701.64063,27802.53711
P02750,LRG1,Leucine-rich alpha-2-glycoprotein,A2GL_HUMAN,9606,145.1243286,313.0507813,99.88599396,250.1417999
P02751,FN1,Fibronectin,FINC_HUMAN,9606,1948.496948,4364.816406,2125.447266,4501.252441
P02753,RBP4,Retinol-binding protein 4,RET4_HUMAN,9606,371.0813599,677.3619995,408.3972473,583.9508057
P02760,AMBP,Protein AMBP,AMBP_HUMAN,9606,2080.05957,3860.677002,1570.532593,3184.022461
P02763,ORM1,Alpha-1-acid glycoprotein 1,A1AG1_HUMAN,9606,948.6832886,3303.629395,820.2530518,2091.160889
P02765,AHSG,Alpha-2-HS-glycoprotein,FETUA_HUMAN,9606,3990.109375,5649.826172,3926.848145,5608.768066
P02766,TTR,Transthyretin,TTHY_HUMAN,9606,3859.797852,6293.128418,2947.480225,5570.228516
P02768,ALB,Albumin,ALBU_HUMAN,9606,87533.84375,161363.6406,89033.42969,149517.4063
P02774,GC,Vitamin D-binding protein,VTDB_HUMAN,9606,37420.60547,58145.19531,39864.14063,83972
P02775,PPBP,Platelet basic protein,CXCL7_HUMAN,9606,22068.87109,33482.13672,21712.54102,17616.44531
P02786,TFRC,Transferrin receptor protein 1,TFR1_HUMAN,9606,243.635849,373.4689331,231.5148773,1048.297852
P02787,TF,Serotransferrin,TRFE_HUMAN,9606,4613.408203,12097.50391,4402.814941,9884.833984
P02788,LTF,Lactotransferrin,TRFL_HUMAN,9606,1541.886841,1095.800781,768.4718018,1996.069702
P02790,HPX,Hemopexin,HEMO_HUMAN,9606,7442.67334,13427.50195,7662.71875,11323.13379
P02794,FTH1,Ferritin heavy chain,FRIH_HUMAN,9606,28.98829269,54.0835228,31.59977341,61.12733459
P03891,MT-ND2,NADH-ubiquinone oxidoreductase chain 2,NU2M_HUMAN,9606,85.87245178,195.3869934,75.74531555,162.2169342
P03905,MT-ND4,NADH-ubiquinone oxidoreductase chain 4,NU4M_HUMAN,9606,15.47078133,35.08898926,13.09178162,47.68255615
P03915,MT-ND5,NADH-ubiquinone oxidoreductase chain 5,NU5M_HUMAN,9606,29.86157227,31.31090355,18.23605156,37.35468674
P03923,MT-ND6,NADH-ubiquinone oxidoreductase chain 6,NU6M_HUMAN,9606,27.12440872,29.12537384,23.48969078,55.78419495
P03928,MT-ATP8,ATP synthase protein 8,ATP8_HUMAN,9606,33.34209824,64.35643005,38.59541321,79.56507874
P03950,ANG,Angiogenin,ANGI_HUMAN,9606,5405.897949,8264.25293,5167.443848,6959.427246
P03951,F11,Coagulation factor XI,FA11_HUMAN,9606,68070.94531,81088.03906,65764.14063,81191.53906
P03952,KLKB1,Plasma kallikrein,KLKB1_HUMAN,9606,22715.26172,26164.43945,23126.69531,16447.43359
P04003,C4BPA,C4b-binding protein alpha chain,C4BPA_HUMAN,9606,5790.324707,10595.1123,5718.23291,9168.195313
P04004,VTN,Vitronectin,VTNC_HUMAN,9606,21655.43164,28231.33984,21207.22266,33974.49219
P04040,CAT,Catalase,CATA_HUMAN,9606,223.7175903,315.1877747,204.9632111,419.8452454
P04062,GBA1,Lysosomal acid glucosylceramidase,GBA1_HUMAN,9606,7.918977737,13.42625237,18.0592289,29.32750893
P04070,PROC,Vitamin K-dependent protein C,PROC_HUMAN,9606,71.51187134,102.0618744,61.19096375,111.6565475
P04075,ALDOA,Fructose-bisphosphate aldolase A,ALDOA_HUMAN,9606,959.1635132,1423.930298,715.2370605,1777.189819
P04080,CSTB,Cystatin-B,CYTB_HUMAN,9606,24.51541901,49.13750839,29.31484604,81.90280151
P04083,ANXA1,Annexin A1,ANXA1_HUMAN,9606,27.0179081,17.81533051,18.75883293,17.81996727
P04085,PDGFA,Platelet-derived growth factor subunit A,PDGFA_HUMAN,9606,59.8474617,179.5482483,43.599617,148.0796204
P04114,APOB,Apolipoprotein B-100,APOB_HUMAN,9606,14833.05957,28444.17188,19581.54688,33366.60938
P04156,PRNP,Major prion protein,PRIO_HUMAN,9606,120.2290268,180.646225,81.28017426,213.1507263
P04179,SOD2,"Superoxide dismutase [Mn], mitochondrial",SODM_HUMAN,9606,2701.453369,3853.856201,2555.946045,5519.124023
P04180,LCAT,Phosphatidylcholine-sterol acyltransferase,LCAT_HUMAN,9606,43.62361145,118.1271286,46.12901688,100.3876801
P04196,HRG,Histidine-rich glycoprotein,HRG_HUMAN,9606,19031.61914,22851.49609,7399.187012,18546.71289
P04211,IGLV7-43,Immunoglobulin lambda variable 7-43,LV743_HUMAN,9606,753.5296021,945.4239502,716.6221313,1030.655884
P04217,A1BG,Alpha-1B-glycoprotein,A1BG_HUMAN,9606,843.0390015,1800.858032,841.1101074,1537.697021
P04233,CD74,HLA class II histocompatibility antigen gamma chain,HG2A_HUMAN,9606,15.48174858,8.535531998,15.3531456,20.69816589
P04259,KRT6B,"Keratin, type II cytoskeletal 6B",K2C6B_HUMAN,9606,4660.967285,3392.654785,6243.118164,12059.11426
P04264,KRT1,"Keratin, type II cytoskeletal 1",K2C1_HUMAN,9606,6640.358398,4689.524902,14987.33887,10455.25879
P04275,VWF,von Willebrand factor,VWF_HUMAN,9606,580.4868774,967.6376953,492.7562866,1375.253784
P04278,SHBG,Sex hormone-binding globulin,SHBG_HUMAN,9606,911.2871094,1303.357666,882.7523804,1300.403809
P04350,TUBB4A,Tubulin beta-4A chain,TBB4A_HUMAN,9606,357.1677551,352.7290039,292.2462158,380.824707
P04406,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,G3P_HUMAN,9606,22260.24609,28931.14063,18244.87109,33739.0625
P04424,ASL,Argininosuccinate lyase,ARLY_HUMAN,9606,68.29795074,87.48144531,48.90067673,122.33078
P04430,IGKV1-16,Immunoglobulin kappa variable 1-16,KV116_HUMAN,9606,81.28568268,172.1563873,73.72701263,134.6895447
P04439,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",HLAA_HUMAN,9606,4790.712402,7489.551758,4566.999023,10553.44434
P04632,CAPNS1,Calpain small subunit 1,CPNS1_HUMAN,9606,493.0138245,765.583374,521.3845215,1182.51416
P04792,HSPB1,Heat shock protein beta-1,HSPB1_HUMAN,9606,1484.958008,2199.659424,1292.287231,2571.344238
P04839,CYBB,Cytochrome b-245 heavy chain,CY24B_HUMAN,9606,4.819847107,19.31764603,7.63275671,23.20108604
P04843,RPN1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1_HUMAN,9606,1439.81189,2240.375977,1396.754395,3168.27002
P04844,RPN2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,RPN2_HUMAN,9606,418.0249023,687.1854858,414.5397034,1033.627075
P04899,GNAI2,Guanine nucleotide-binding protein G(i) subunit alpha-2,GNAI2_HUMAN,9606,2806.953613,3854.461914,2442.283691,5425.85791
P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1,H2AC4;H2AC11;H2AC7;H2AC20;H2AC18;H2AC25;H2AC6;H2AC12;H2AC14;H2AJ,Histone H2A type 1-B/E;Histone H2A type 1;Histone H2A type 1-D;Histone H2A type 2-C;Histone H2A type 2-A;Histone H2A type 3;Histone H2A type 1-C;Histone H2A type 1-H;Histone H2A type 1-J;Histone H2A.J,H2A1B_HUMAN;H2A1_HUMAN;H2A1D_HUMAN;H2A2C_HUMAN;H2A2A_HUMAN;H2A3_HUMAN;H2A1C_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2AJ_HUMAN,9606,2510.829346,4043.448975,2415.527588,7092.941895
P04920,SLC4A2,Anion exchange protein 2,B3A2_HUMAN,9606,39.40641022,72.25759888,40.26093674,92.89343262
P05019,IGF1,Insulin-like growth factor I,IGF1_HUMAN,9606,58.77550888,87.62839508,48.82118607,58.89759064
P05023,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1,AT1A1_HUMAN,9606,1228.207397,2091.763184,1176.751465,2930.722168
P05067,APP,Amyloid-beta precursor protein,A4_HUMAN,9606,192.6578522,286.22052,265.1228333,409.2621765
P05089,ARG1,Arginase-1,ARGI1_HUMAN,9606,27.2353344,34.38211823,33.55531693,28.55521011
P05090,APOD,Apolipoprotein D,APOD_HUMAN,9606,2842.465576,5159.441895,3321.387207,5122.768066
P05091,ALDH2,"Aldehyde dehydrogenase, mitochondrial",ALDH2_HUMAN,9606,38.29665375,78.66283417,37.64601135,121.4093552
P05106,ITGB3,Integrin beta-3,ITB3_HUMAN,9606,31936.51758,38414.27344,33613.12891,69219.50781
P05107,ITGB2,Integrin beta-2,ITB2_HUMAN,9606,67.21268463,128.7531281,64.92370605,189.0746155
P05109,S100A8,Protein S100-A8,S10A8_HUMAN,9606,341.8869629,173.3428345,86.91773987,183.6143341
P05121,SERPINE1,Plasminogen activator inhibitor 1,PAI1_HUMAN,9606,149.6139832,257.6819458,125.8556824,272.45401
P05141,SLC25A5,ADP/ATP translocase 2,ADT2_HUMAN,9606,4808.084961,6384.964844,5182.667969,10755.81641
P05154,SERPINA5,Plasma serine protease inhibitor,IPSP_HUMAN,9606,3963.456299,6022.841309,3504.025879,3562.415527
P05155,SERPING1,Plasma protease C1 inhibitor,IC1_HUMAN,9606,17338.77148,25645.34961,17519.77148,25934.47656
P05156,CFI,Complement factor I,CFAI_HUMAN,9606,356.9646301,613.7244873,309.6938171,417.0739136
P05160,F13B,Coagulation factor XIII B chain,F13B_HUMAN,9606,53.58027267,110.9117432,57.54516602,111.3649597
P05164,MPO,Myeloperoxidase,PERM_HUMAN,9606,78.28933716,128.2777252,78.31822968,275.7272339
P05165,PCCA,"Propionyl-CoA carboxylase alpha chain, mitochondrial",PCCA_HUMAN,9606,97.67816925,157.3023529,90.7000885,208.8296356
P05166,PCCB,"Propionyl-CoA carboxylase beta chain, mitochondrial",PCCB_HUMAN,9606,107.9527206,180.5423737,116.684166,230.0979309
P05198,EIF2S1,Eukaryotic translation initiation factor 2 subunit 1,IF2A_HUMAN,9606,111.9950104,225.0583038,97.34429932,201.1864929
P05386,RPLP1,Large ribosomal subunit protein P1,RLA1_HUMAN,9606,27.07201958,31.80143166,23.36996841,37.11072159
P05387,RPLP2,Large ribosomal subunit protein P2,RLA2_HUMAN,9606,49.75930405,67.88600159,55.4385376,105.573967
P05388;Q8NHW5,RPLP0;RPLP0P6,Large ribosomal subunit protein uL10;Putative ribosomal protein uL10-like,RLA0_HUMAN;RLA0L_HUMAN,9606,11.37527847,15.09097767,6.092757702,18.20328712
P05452,CLEC3B,Tetranectin,TETN_HUMAN,9606,19082.19336,26362.63867,18252.88867,21688.85156
P05543,SERPINA7,Thyroxine-binding globulin,THBG_HUMAN,9606,50.26306915,92.59184265,52.53379059,83.23265076
P05546,SERPIND1,Heparin cofactor 2,HEP2_HUMAN,9606,1768.472656,3169.866211,1759.196167,2475.748535
P05556,ITGB1,Integrin beta-1,ITB1_HUMAN,9606,2391.029053,3473.337402,2761.275635,5673.777832
P05771,PRKCB,Protein kinase C beta type,KPCB_HUMAN,9606,145.5922852,210.5895538,88.50383759,236.1552734
P05783,KRT18,"Keratin, type I cytoskeletal 18",K1C18_HUMAN,9606,27.83435822,21.17603874,10.53827381,15.55081654
P05787,KRT8,"Keratin, type II cytoskeletal 8",K2C8_HUMAN,9606,32.02807999,24.93768501,14.63948631,22.49750519
P06132,UROD,Uroporphyrinogen decarboxylase,DCUP_HUMAN,9606,4.375536442,9.55670929,5.603385925,9.16182518
P06241,FYN,Tyrosine-protein kinase Fyn,FYN_HUMAN,9606,229.152298,389.4413757,184.5687408,489.3279419
P06276,BCHE,Cholinesterase,CHLE_HUMAN,9606,16.86006927,61.13201904,8.233744621,33.62356949
P06280,GLA,Alpha-galactosidase A,AGAL_HUMAN,9606,18.40514755,32.70568085,15.89668846,28.84454536
P06312,IGKV4-1,Immunoglobulin kappa variable 4-1,KV401_HUMAN,9606,2516.384766,5306.916016,2608.594727,5264.702637
P06396,GSN,Gelsolin,GELS_HUMAN,9606,11378.24609,17467.66211,11404.52148,23080.76953
P06454,PTMA,Prothymosin alpha,PTMA_HUMAN,9606,28.33984184,10.87096119,4.692465305,7.071625233
P06576,ATP5F1B,"ATP synthase subunit beta, mitochondrial",ATPB_HUMAN,9606,4314.490723,6952.460449,4857.73877,11051.39648
P06681,C2,Complement C2,CO2_HUMAN,9606,221.3361053,374.5917969,197.790451,303.7700806
P06702,S100A9,Protein S100-A9,S10A9_HUMAN,9606,303.1662598,148.3082886,67.39533997,109.4842834
P06703,S100A6,Protein S100-A6,S10A6_HUMAN,9606,117.0842819,135.1025543,74.52196503,131.4299316
